label,id,value
benzo[b]fluoranthene,101,benzo[b]fluoranthene
benzo[k]fluoranthene,102,benzo[k]fluoranthene
"indeno[1,2,3-cd]pyrene",103,"indeno[1,2,3-cd]pyrene"
heptachlor,104,heptachlor
dieldrin,105,dieldrin
endrin,106,endrin
"2,4'-DDD",107,"2,4'-DDD"
"2,4'-DDT",108,"2,4'-DDT"
methoxychlor,109,methoxychlor
mirex,110,mirex
methanol,111,methanol
2-butanol,112,2-butanol
1-propanol,113,1-propanol
2-methyl-1-propanol,114,2-methyl-1-propanol
1-pentanol,115,1-pentanol
1-butanol,116,1-butanol
isoamyl alcohol,117,isoamyl alcohol
ethyl lactate,118,ethyl lactate
2-pentanol,119,2-pentanol
n-tetradecane,120,n-tetradecane
n-pentadecane,121,n-pentadecane
n-hexadecane,122,n-hexadecane
methylene chloride,123,methylene chloride
trichloromethane,124,trichloromethane
"1,1,1-trichloroethane",125,"1,1,1-trichloroethane"
"1,2-dichloroethane",126,"1,2-dichloroethane"
tetrachloromethane,127,tetrachloromethane
trichloroethylene,128,trichloroethylene
"1,1,2-trichloroethane",129,"1,1,2-trichloroethane"
tetrachloroethylene,130,tetrachloroethylene
"1,1,2,2-tetrachloroethane",131,"1,1,2,2-tetrachloroethane"
manganese,132,manganese
molybdenum,133,molybdenum
nickel,134,nickel
chromium,135,chromium
pH,136,pH
gold,137,gold
mercury,138,mercury
platinum,139,platinum
palladium,140,palladium
iron,141,iron
copper,142,copper
gallium,143,gallium
silicon,144,silicon
tin,145,tin
tungsten,146,tungsten
bismuth,147,bismuth
sodium expressed as sodium chloride,148,sodium expressed as sodium chloride
potassium expressed as potassium chloride,149,potassium expressed as potassium chloride
theophylline,150,theophylline
aluminum,151,aluminum
aluminum dioxide,152,aluminum dioxide
calcium carbonate,153,calcium carbonate
magnesium,154,magnesium
benzoic acid,155,benzoic acid
cobalt,156,cobalt
cesium,157,cesium
europium,158,europium
antimony,159,antimony
scandium,160,scandium
silver,161,silver
lanthanum,162,lanthanum
selenium,163,selenium
zinc,164,zinc
beta-phase of silicon nitride,165,beta-phase of silicon nitride
inorganic compounds,166,inorganic compounds
"silica, alumina",167,"silica, alumina"
"faujasite, alumina",168,"faujasite, alumina"
"porous glass, alumina",169,"porous glass, alumina"
"filter tubes, flat membrane (alumina)",170,"filter tubes, flat membrane (alumina)"
filter tubes (alumina),171,filter tubes (alumina)
"flat membrane, (alumina)",172,"flat membrane, (alumina)"
"BDE 47 (2,2',4,4'-tetrabromodiphenyl ether)",173,"BDE 47 (2,2',4,4'-tetrabromodiphenyl ether)"
"BDE 183 (2,2',3,4,4',5',6-heptabromodiphenyl ether)",174,"BDE 183 (2,2',3,4,4',5',6-heptabromodiphenyl ether)"
"BDE 206 (2,2',3,3',4,4',5,5',6-nonabromodiphenyl ether)",175,"BDE 206 (2,2',3,3',4,4',5,5',6-nonabromodiphenyl ether)"
"BDE 99 (2,2',4,4',5-pentabromodiphenyl ether)",176,"BDE 99 (2,2',4,4',5-pentabromodiphenyl ether)"
"BDE 100 (2,2',4,4',6-pentabromodiphenyl ether)",177,"BDE 100 (2,2',4,4',6-pentabromodiphenyl ether)"
PBB-209 (decabromobiphenyl),178,PBB-209 (decabromobiphenyl)
ortho-xylene,179,ortho-xylene
PCB 70,180,PCB 70
PCB 194,181,PCB 194
"p,p'-DDD",182,"p,p'-DDD"
potassium perfluorooctanesulfonate,183,potassium perfluorooctanesulfonate
"purified peptides of known sequence up to a length of 23 amino acids. The peptide must contain minimum three AA out of the set: {L,I,V,P,F}",184,"purified peptides of known sequence up to a length of 23 amino acids. The peptide must contain minimum three AA out of the set: {L,I,V,P,F}"
sulphamethazine,185,sulphamethazine
PCB congeners,186,PCB congeners
somatropin,187,somatropin
"peptide of known sequence containing up to 15 amino acids which must contain at least three of the following AA (A,G,V,L,I,P,F,K,R)",188,"peptide of known sequence containing up to 15 amino acids which must contain at least three of the following AA (A,G,V,L,I,P,F,K,R)"
ammonium,189,ammonium
calcium,190,calcium
nitrite,191,nitrite
nitrate,192,nitrate
barium,193,barium
beryllium,194,beryllium
strontium,195,strontium
uranium,196,uranium
vanadium,197,vanadium
potassium,198,potassium
sodium,199,sodium
nitrate + nitrite,200,nitrate + nitrite
ortho-phosphate,201,ortho-phosphate
silicate,202,silicate
cerium,203,cerium
dysprosium,204,dysprosium
erbium,205,erbium
gadolinium,206,gadolinium
germanium,207,germanium
hafnium,208,hafnium
holmium,209,holmium
indium,210,indium
lutetium,211,lutetium
neodymium,212,neodymium
niobium,213,niobium
praseodymium,214,praseodymium
rhenium,215,rhenium
rhodium,216,rhodium
rubidium,217,rubidium
samarium,218,samarium
sulfur,219,sulfur
tantalum,220,tantalum
tellurium,221,tellurium
terbium,222,terbium
thallium,223,thallium
thorium,224,thorium
thulium,225,thulium
titanium,226,titanium
ytterbium,227,ytterbium
yttrium,228,yttrium
zirconium,229,zirconium
sulfate,230,sulfate
fluoride,231,fluoride
bromide,232,bromide
phosphate,233,phosphate
chlorine,234,chlorine
"BDE 154 (2,2',4,4',5,6-hexabromodiphenyl ether)",235,"BDE 154 (2,2',4,4',5,6-hexabromodiphenyl ether)"
bromine,236,bromine
endosulfan sulfate,237,endosulfan sulfate
melamine,238,melamine
total bromine,239,total bromine
3-amino-2-oxazolidinone,240,3-amino-2-oxazolidinone
semicarbazide,241,semicarbazide
folic acid,242,folic acid
captopril,243,captopril
metronidazole,244,metronidazole
sodium diclofenac,245,sodium diclofenac
total halides expressed as potassium chloride,246,total halides expressed as potassium chloride
"total halides, except fluoride (F), expressed as sodium chloride",247,"total halides, except fluoride (F), expressed as sodium chloride"
total acid expressed as hydrochloric acid,248,total acid expressed as hydrochloric acid
water,249,water
"n(206Pb)/n(204Pb), n(207Pb)/n(204Pb), n(208Pb)/n(204Pb), n(208Pb)/n(206Pb)",250,"n(206Pb)/n(204Pb), n(207Pb)/n(204Pb), n(208Pb)/n(204Pb), n(208Pb)/n(206Pb)"
pentachlorophenol (PCP),251,pentachlorophenol (PCP)
isotope ratio of 206Pb/204Pb,252,isotope ratio of 206Pb/204Pb
isotope ratio of 207Pb/204Pb,253,isotope ratio of 207Pb/204Pb
isotope ratio of 208Pb/204Pb,254,isotope ratio of 208Pb/204Pb
ozone,255,ozone
methane,256,methane
ethane,257,ethane
propane,258,propane
n-butane,259,n-butane
isobutane,260,isobutane
carbon dioxide,261,carbon dioxide
carbon monoxide,262,carbon monoxide
fluoride expressed as sodium fluoride,263,fluoride expressed as sodium fluoride
chromium (VI),264,chromium (VI)
oxidants expressed as Cr(VI),265,oxidants expressed as Cr(VI)
reductants expressed as As(III),266,reductants expressed as As(III)
total halides (except F) expressed as chloride,267,total halides (except F) expressed as chloride
total acid expressed as sulfuric acid,268,total acid expressed as sulfuric acid
SeMet,269,SeMet
total cholesterol,270,total cholesterol
isobutanol,271,isobutanol
acetaldehyde,272,acetaldehyde
fructose,273,fructose
nitrous oxide,274,nitrous oxide
pentafluorobenzoic acid,275,pentafluorobenzoic acid
valine,276,valine
glycine,277,glycine
alanine,278,alanine
leucine,279,leucine
isoleucine,280,isoleucine
proline,281,proline
serine,282,serine
threonine,283,threonine
cysteine,284,cysteine
methionine,285,methionine
aspartic acid,286,aspartic acid
asparagine,287,asparagine
glutamic acid,288,glutamic acid
glutamine,289,glutamine
lysine,290,lysine
arginine,291,arginine
histidine,292,histidine
phenylalanine,293,phenylalanine
tyrosine,294,tyrosine
tryptophan,295,tryptophan
"halides (Cl-, Br-, I-) expressed as potassium chloride",296,"halides (Cl-, Br-, I-) expressed as potassium chloride"
Cl- ions expressed as potassium chloride,297,Cl- ions expressed as potassium chloride
"halides (Cl-, Br-, I-) expressed as sodium chloride",298,"halides (Cl-, Br-, I-) expressed as sodium chloride"
Cl- ions expressed as sodium chloride,299,Cl- ions expressed as sodium chloride
low polarity low MW high purity chemical,300,low polarity low MW high purity chemical
low polarity medium MW high purity chemical,301,low polarity medium MW high purity chemical
high polarity low MW high purity chemical,302,high polarity low MW high purity chemical
high polarity medium MW high purity chemical,303,high polarity medium MW high purity chemical
nitrogen monoxide,304,nitrogen monoxide
sulfur dioxide,305,sulfur dioxide
hydrogen sulfide,306,hydrogen sulfide
nitrogen dioxide,307,nitrogen dioxide
oxygen,308,oxygen
helium,309,helium
total hydrocarbons,310,total hydrocarbons
argon,311,argon
titanium dioxide,312,titanium dioxide
nanoporous carbon,313,nanoporous carbon
MoCB,314,MoCB
DiCB,315,DiCB
TriCB,316,TriCB
TetraCB,317,TetraCB
PeCB,318,PeCB
HxCB,319,HxCB
HpCB,320,HpCB
OcCB,321,OcCB
NoCB,322,NoCB
DeCB,323,DeCB
MoBDE,324,MoBDE
DiBDE,325,DiBDE
TriBDE,326,TriBDE
TetraBDE,327,TetraBDE
PeBDE,328,PeBDE
HxBDE,329,HxBDE
HpBDE,330,HpBDE
i-butane,331,i-butane
i-pentane,332,i-pentane
n-pentane,333,n-pentane
selenomethionine,334,selenomethionine
total arsenic,335,total arsenic
MON810/hmg,336,MON810/hmg
Genomic DNA. Copy number ratio of specified intact sequence fragments of 50 to 150 nucleotides length in a single genomic DNA extract.,337,Genomic DNA. Copy number ratio of specified intact sequence fragments of 50 to 150 nucleotides length in a single genomic DNA extract.
"o,p'-DDT",338,"o,p'-DDT"
alpha-HCH,339,alpha-HCH
beta-HCH (hexachlorocyclohexane),340,beta-HCH (hexachlorocyclohexane)
PCB 52,341,PCB 52
PCB 138,342,PCB 138
PCB 180,343,PCB 180
cyanide,344,cyanide
COD (expressed as reduction capacity of potassium biphthalate),345,COD (expressed as reduction capacity of potassium biphthalate)
monobutyltin as tin,346,monobutyltin as tin
tributyltin as tin,347,tributyltin as tin
dibutlytin as tin,348,dibutlytin as tin
arsenobetaine,349,arsenobetaine
methylmercury,350,methylmercury
avermectin B1a,351,avermectin B1a
"BDE-153 (2,2',4,4',5,5'-Hexabromodiphenyl ether)",352,"BDE-153 (2,2',4,4',5,5'-Hexabromodiphenyl ether)"
carbon black,353,carbon black
"silica, alumina and other mesoporous materials",354,"silica, alumina and other mesoporous materials"
cortisol,355,cortisol
PCB 118,356,PCB 118
aldosterone,357,aldosterone
"PBDEs, PAHs, PCBs Low polarity pesticides (<500Mwt)Perfluorinated carboxylic acids ( <C12) Perfluorinated sulphonates (<C12)",358,"PBDEs, PAHs, PCBs Low polarity pesticides (<500Mwt)Perfluorinated carboxylic acids ( <C12) Perfluorinated sulphonates (<C12)"
total silicon as silicon (IV) oxide,359,total silicon as silicon (IV) oxide
total iron,360,total iron
total manganese as manganese (II) oxide,361,total manganese as manganese (II) oxide
total silicon as silicon oxide,362,total silicon as silicon oxide
chloride expressed as potassium chloride,363,chloride expressed as potassium chloride
chloramphenicol,364,chloramphenicol
amino acid with molecular weight less than 300,365,amino acid with molecular weight less than 300
alpha-BHC,366,alpha-BHC
beta-BHC,367,beta-BHC
delta-BHC,368,delta-BHC
gamma-BHC,369,gamma-BHC
endosulfan I (alpha),370,endosulfan I (alpha)
endosulfan II (beta),371,endosulfan II (beta)
endrin aldehyde,372,endrin aldehyde
endrin ketone,373,endrin ketone
riboflavin,374,riboflavin
benzo[a]fluoranthene,375,benzo[a]fluoranthene
biphenyl,376,biphenyl
perylene,377,perylene
atrazine,378,atrazine
formaldehyde,379,formaldehyde
free calcium ions,380,free calcium ions
free sodium ions,381,free sodium ions
free potassium ions,382,free potassium ions
free chloride ions,383,free chloride ions
carbamazepine,384,carbamazepine
diclofenac,385,diclofenac
oxazepam,386,oxazepam
17alpha-ethynylestradiol,387,17alpha-ethynylestradiol
17beta-estradiol,388,17beta-estradiol
estrone,389,estrone
progesterone,390,progesterone
THC-9-COOH,391,THC-9-COOH
chlorine (as chloride),392,chlorine (as chloride)
clenbuterol,393,clenbuterol
acrylamide,394,acrylamide
ochratoxin A,395,ochratoxin A
uranium n(234U)/n(238U),396,uranium n(234U)/n(238U)
uranium n(235U)/n(238U),397,uranium n(235U)/n(238U)
uranium n(236U)/n(238U),398,uranium n(236U)/n(238U)
"cationic electrolytes: K, Ca, Mg, Li, Sr",399,"cationic electrolytes: K, Ca, Mg, Li, Sr"
"essential elements: Fe, Zn, Cu, Se",400,"essential elements: Fe, Zn, Cu, Se"
"toxic elements: Ti, Cr, Pb, Cd, Ag, Sb, Sn, Hg, Mo, V, Ba",401,"toxic elements: Ti, Cr, Pb, Cd, Ag, Sb, Sn, Hg, Mo, V, Ba"
lysergide,402,lysergide
thyroxine,403,thyroxine
testosterone,404,testosterone
19-norandrosterone,405,19-norandrosterone
testosterone glucuronide,406,testosterone glucuronide
digoxin,407,digoxin
linearised Plasmid DNA (4.4 ± 1) kbp,408,linearised Plasmid DNA (4.4 ± 1) kbp
total malachite green (malachite green and leuco-malachite green),409,total malachite green (malachite green and leuco-malachite green)
Genomic DNA. Copy number ratio of specified intact sequence fragments of 70 to 150 nucleotides length in a single genomic DNA extract,410,Genomic DNA. Copy number ratio of specified intact sequence fragments of 70 to 150 nucleotides length in a single genomic DNA extract
d13C(VPDB-LSVEC),411,d13C(VPDB-LSVEC)
"essential elements: Cu, Fe, Se, Zn, I",412,"essential elements: Cu, Fe, Se, Zn, I"
specified intact sequence fragments of a length up to 150 nucleotides in a single genomic DNA extract,413,specified intact sequence fragments of a length up to 150 nucleotides in a single genomic DNA extract
"electrolytes (Na, Cl, K)",414,"electrolytes (Na, Cl, K)"
"trace elements (Cu, Se)",415,"trace elements (Cu, Se)"
25-hydroxyvitamin D2,416,25-hydroxyvitamin D2
25-hydroxyvitamin D3,417,25-hydroxyvitamin D3
3-epi-25-Hydroxyvitamin D3,418,3-epi-25-Hydroxyvitamin D3
linearised plasmid DNA between 3 kbp and 6 kbp,419,linearised plasmid DNA between 3 kbp and 6 kbp
sulfadimethoxine,420,sulfadimethoxine
iodine,421,iodine
d15N/14N,422,d15N/14N
d13C/12C,423,d13C/12C
beta-cyanoalanine,424,beta-cyanoalanine
gamma-glutamyl beta-cyanoalanine,425,gamma-glutamyl beta-cyanoalanine
Genomic DNA. Copy number ratio of specified intact sequence fragments of 60 to 150 nucleotides length in a single genomic DNA extract,426,Genomic DNA. Copy number ratio of specified intact sequence fragments of 60 to 150 nucleotides length in a single genomic DNA extract
[…]specified intact sequence fragments of a length up to 150 nucleotides […],427,[…]specified intact sequence fragments of a length up to 150 nucleotides […]
methylparaben,428,methylparaben
n-butyl paraben (n-butyl 4-hydroxybenzoate),429,n-butyl paraben (n-butyl 4-hydroxybenzoate)
sorbic acid,430,sorbic acid
propionic acid,431,propionic acid
benzoates,432,benzoates
sorbates,433,sorbates
butan-2-ol,434,butan-2-ol
butan-1-ol,435,butan-1-ol
propan-1-ol,436,propan-1-ol
ethyl carbamate,437,ethyl carbamate
carbonyl sulfide,438,carbonyl sulfide
hydrogen chloride,439,hydrogen chloride
ammonia,440,ammonia
"1,3-butadiene",441,"1,3-butadiene"
ethyne,442,ethyne
ethene,443,ethene
propene,444,propene
1-butene,445,1-butene
cis-2-butene,446,cis-2-butene
trans-2-butene,447,trans-2-butene
"2-methyl-1,3-butadiene",448,"2-methyl-1,3-butadiene"
cis-2-pentene,449,cis-2-pentene
trans-2-pentene,450,trans-2-pentene
isopentane,451,isopentane
3-methylpentane,452,3-methylpentane
2-methylpentane,453,2-methylpentane
isobutylene,454,isobutylene
"2,3-methyl-pentane",455,"2,3-methyl-pentane"
cyclohexane,456,cyclohexane
propyne,457,propyne
dichloromethane,458,dichloromethane
trichlorofluoromethane,459,trichlorofluoromethane
"1,1-dichloroethene",460,"1,1-dichloroethene"
"1,2-dichloropropane",461,"1,2-dichloropropane"
trichloroethene,462,trichloroethene
"1,2-dibromoethane",463,"1,2-dibromoethane"
tetrachloroethene,464,tetrachloroethene
chlorobenzene,465,chlorobenzene
"1,2-dichlorobenzene",466,"1,2-dichlorobenzene"
"trans-1,3-dichloropropene",467,"trans-1,3-dichloropropene"
acetone,468,acetone
methylethyl ketone,469,methylethyl ketone
ethanethiol,470,ethanethiol
methylsulphide,471,methylsulphide
2-methylbutane,472,2-methylbutane
1-pentene,473,1-pentene
"2,2,4-trimethylpentane",474,"2,2,4-trimethylpentane"
carbon disulfide,475,carbon disulfide
dimethyl sulfide,476,dimethyl sulfide
ethyl methyl sulfide,477,ethyl methyl sulfide
diethyl sulfide,478,diethyl sulfide
methanethiol,479,methanethiol
2-propanethiol,480,2-propanethiol
1-propanethiol,481,1-propanethiol
2-methyl-2-propanethiol,482,2-methyl-2-propanethiol
butanethiol,483,butanethiol
tetrahydrothiophene,484,tetrahydrothiophene
neo-pentane,485,neo-pentane
airborne particles,486,airborne particles
methylacrylate,487,methylacrylate
ethyl acrylate,488,ethyl acrylate
total hydrocarbon compounds,489,total hydrocarbon compounds
total sulfur compounds,490,total sulfur compounds
bisphenol A,491,bisphenol A
"trans-1,2-dichloroethene",492,"trans-1,2-dichloroethene"
diethyl phthalate,493,diethyl phthalate
di-n-butyl phthalate,494,di-n-butyl phthalate
bis(2-ethylhexyl)phthalate,495,bis(2-ethylhexyl)phthalate
di-n-propyl phthalate,496,di-n-propyl phthalate
di-n-pentyl phthalate,497,di-n-pentyl phthalate
di-n-hexyl phthalate,498,di-n-hexyl phthalate
di-cyclohexyl phthalate,499,di-cyclohexyl phthalate
butyl benzyl phthalate,500,butyl benzyl phthalate
base expressed as sodium carbonate,501,base expressed as sodium carbonate
"cis-1,2-dichloroethene",502,"cis-1,2-dichloroethene"
"cis-1,3-dichloropropene",503,"cis-1,3-dichloropropene"
"1,4–dichlorobenzene",504,"1,4–dichlorobenzene"
"1,1-dichloroethylene",505,"1,1-dichloroethylene"
lysine monohydrochloride (HCl),506,lysine monohydrochloride (HCl)
4-n-nonylphenol,507,4-n-nonylphenol
4-t-octylphenol,508,4-t-octylphenol
4-t-butylphenol,509,4-t-butylphenol
4-n-heptylphenol,510,4-n-heptylphenol
"2,4-dichlorophenol",511,"2,4-dichlorophenol"
perfluorooctanoic acid,512,perfluorooctanoic acid
simazine,513,simazine
thiuram,514,thiuram
thiobencarb,515,thiobencarb
chloride expressed as sodium chloride,516,chloride expressed as sodium chloride
ammonium expressed as ammonium chloride,517,ammonium expressed as ammonium chloride
chloride expressed as ammonium chloride,518,chloride expressed as ammonium chloride
acid expressed as potassium hydrogen phthalate,519,acid expressed as potassium hydrogen phthalate
reductants expressed as arsenic(III) trioxide,520,reductants expressed as arsenic(III) trioxide
acid expressed as amidosulfuric acid,521,acid expressed as amidosulfuric acid
oxidant expressed as potassium iodate,522,oxidant expressed as potassium iodate
reductants expressed as sodium oxalate,523,reductants expressed as sodium oxalate
total base expressed as tris(hydroxymethyl)aminomethane,524,total base expressed as tris(hydroxymethyl)aminomethane
triolein,525,triolein
cystine,526,cystine
"1,4-dioxane",527,"1,4-dioxane"
tert-butyl methyl ether,528,tert-butyl methyl ether
chlorinated pesticides,529,chlorinated pesticides
"1,2,4,5-tetrachloro-3-nitrobenzene",530,"1,2,4,5-tetrachloro-3-nitrobenzene"
"O,O-dimethyl S-[2-(methylamino)-2-oxoethyl] phosphorodithioate",531,"O,O-dimethyl S-[2-(methylamino)-2-oxoethyl] phosphorodithioate"
malathion,532,malathion
"2,6-di-tert-butyl-4-methyl-phenol or BHT",533,"2,6-di-tert-butyl-4-methyl-phenol or BHT"
"2,3-dihydro-1,2-benzisothiazol-3-one-1,1dioxide or 1,2-Benzisothiazolin-3-one,1,1-dioxide",534,"2,3-dihydro-1,2-benzisothiazol-3-one-1,1dioxide or 1,2-Benzisothiazolin-3-one,1,1-dioxide"
organophosphate pesticides,535,organophosphate pesticides
PCBs,536,PCBs
"aromatic hydrocarbons, compounds with less than 20 C atoms",537,"aromatic hydrocarbons, compounds with less than 20 C atoms"
nicotine,538,nicotine
PCB 77,539,PCB 77
PCB 126,540,PCB 126
PCB 169,541,PCB 169
3-tert-butyl-4-hydroxyanisole,542,3-tert-butyl-4-hydroxyanisole
"potassium 2,4-hexadienoate",543,"potassium 2,4-hexadienoate"
chlorpyrifos,544,chlorpyrifos
N-ethyl-N-[2-(1-isobutoxyethoxy)ethyl]ethyl]-4-(phenylazo)aniline,545,N-ethyl-N-[2-(1-isobutoxyethoxy)ethyl]ethyl]-4-(phenylazo)aniline
leucomalachite green,546,leucomalachite green
tacrolimus,547,tacrolimus
malachite green oxalate,548,malachite green oxalate
13C/12C,549,13C/12C
sirolimus,550,sirolimus
chemically synthesized linear peptides of known sequence up to 5kDa without sulphur bridges with a content of peptidic impurities between 0 and 15%,551,chemically synthesized linear peptides of known sequence up to 5kDa without sulphur bridges with a content of peptidic impurities between 0 and 15%
high polarity organic compounds with Mwt between 300 and 500,552,high polarity organic compounds with Mwt between 300 and 500
hydrogen ion,553,hydrogen ion
nitrite content expressed as N,554,nitrite content expressed as N
arsenious acid,555,arsenious acid
arsenic acid,556,arsenic acid
monomethylarsonic acid,557,monomethylarsonic acid
dimethylarsinic acid,558,dimethylarsinic acid
arsenocholine,559,arsenocholine
selenite,560,selenite
selenate,561,selenate
seleno-cystine,562,seleno-cystine
(methyl)seleno-cysteine,563,(methyl)seleno-cysteine
reductant expressed as sodium thiosulfate,564,reductant expressed as sodium thiosulfate
oxidant expressed as potassium permanganate,565,oxidant expressed as potassium permanganate
argentometric standard expressed as silver nitrate,566,argentometric standard expressed as silver nitrate
acid expressed as hydrochloric acid,567,acid expressed as hydrochloric acid
oxidant expressed as iodine,568,oxidant expressed as iodine
complexing agent expressed as ethylenediamine tetraacetic acid disodium,569,complexing agent expressed as ethylenediamine tetraacetic acid disodium
complexometric calibrant which chelate complex with EDTA expressed as zinc,570,complexometric calibrant which chelate complex with EDTA expressed as zinc
argentometric calibrant expressed as chloride,571,argentometric calibrant expressed as chloride
"o,p'-DDD",572,"o,p'-DDD"
PCB 152,573,PCB 152
"total of tetra-,penta-,hexa-chlorinated biphenyls",574,"total of tetra-,penta-,hexa-chlorinated biphenyls"
"2,3,7,8-tetrachlorodibenzo-p-dioxin",575,"2,3,7,8-tetrachlorodibenzo-p-dioxin"
"1,3-dinitropyrene",576,"1,3-dinitropyrene"
"1,6-dinitropyrene",577,"1,6-dinitropyrene"
"1,8-dinitropyrene",578,"1,8-dinitropyrene"
1-nitropyrene,579,1-nitropyrene
2-nitrofluorene,580,2-nitrofluorene
3-nitrofluoranthene,581,3-nitrofluoranthene
6-nitrochrysene,582,6-nitrochrysene
7-nitrobenz[a]anthracene,583,7-nitrobenz[a]anthracene
9-nitroanthracene,584,9-nitroanthracene
1-methylnaphthalene,585,1-methylnaphthalene
1-methylphenanthrene,586,1-methylphenanthrene
"2,3,5-trimethylnaphthalene",587,"2,3,5-trimethylnaphthalene"
"2,6-dimethylnaphthalene",588,"2,6-dimethylnaphthalene"
benzo[e]pyrene,589,benzo[e]pyrene
acenaphthene-d10,590,acenaphthene-d10
benzo[a]anthracene-d12,591,benzo[a]anthracene-d12
benzo[a]pyrene-d12,592,benzo[a]pyrene-d12
biphenyl-d10,593,biphenyl-d10
fluoranthene-d10,594,fluoranthene-d10
naphthalene-d8,595,naphthalene-d8
perylene-d12,596,perylene-d12
phenanthrene-d10,597,phenanthrene-d10
pyrene-d10,598,pyrene-d10
PCB 1,599,PCB 1
PCB 104,600,PCB 104
PCB 128,601,PCB 128
PCB 18,602,PCB 18
PCB 187,603,PCB 187
PCB 188,604,PCB 188
PCB 195,605,PCB 195
PCB 201,606,PCB 201
PCB 206,607,PCB 206
PCB 209,608,PCB 209
PCB 29,609,PCB 29
PCB 44,610,PCB 44
PCB 66,611,PCB 66
PCB 8,612,PCB 8
PCB 87,613,PCB 87
alpha-hexachlorocyclohexane,614,alpha-hexachlorocyclohexane
cis-nonachlor,615,cis-nonachlor
gamma-chlordane,616,gamma-chlordane
